DAY,TIME,PH,SUNLIGHT,HUMIDITY,TEMPERATURE,SOIL MOISTURE,WATER LEVEL,,,
day23,34:52.3,6.94,217,60.7,32.6,676,555,,,
day23,44:53.7,6.9,217,59.5,32.9,679,608,,,
day23,54:55.0,7.12,215,60.6,33,680,622,,,
day23,04:56.2,7.31,209,62.2,31.9,680,626,,,
day23,14:57.5,7.42,209,62.4,31,681,634,,,
day23,24:58.7,7.64,209,64.2,30.5,681,634,,,
day23,35:00.0,7.86,210,64,30.5,680,637,,,
day23,45:01.3,8.01,210,63.3,30.8,681,641,,,
day23,55:02.6,8.19,210,62.9,30.8,681,643,,,
day23,05:03.9,8.27,212,63.3,30.9,680,644,,,
day23,15:05.2,8.38,212,61.5,31.1,681,648,,,
day23,25:06.4,8.42,210,62.2,31,680,648,,,
day23,35:07.7,8.49,205,61.9,31.3,680,649,,,
day23,45:08.9,8.53,204,61,31,681,655,,,
day23,55:10.2,8.53,210,61.3,30.9,680,655,,,
day23,05:11.5,8.19,211,59.7,31.1,680,655,,,
day23,15:12.8,8.42,209,60,31.3,680,650,,,
day23,25:14.0,8.53,206,59.2,31,681,656,,,
day23,35:15.2,8.49,204,58.8,30.9,681,659,,,
day23,45:16.5,8.42,206,60.1,30.9,680,656,,,
day23,55:17.7,8.42,206,58.8,31,680,661,,,
day23,05:19.0,8.3,207,58.2,31.1,680,661,,,
day23,15:20.2,8.34,206,57.2,31,679,655,,,
day23,25:21.4,8.49,206,58.7,31,680,657,,,
day23,35:22.7,8.42,207,59.7,31.1,680,659,,,
day23,45:23.9,8.38,208,55.1,31.1,680,659,,,
day23,55:25.2,8.45,207,56.5,31.1,681,660,,,
day23,05:26.4,8.53,209,57.4,31.1,680,653,,,
day23,15:27.6,8.45,207,59,31.3,679,655,,,
day23,25:28.9,8.56,206,58.8,31,680,661,,,
day23,35:30.1,8.49,206,56.5,31,681,661,,,
day23,45:31.3,8.49,204,57.1,30.9,680,658,,,
day23,55:32.5,8.42,203,57.8,31,679,648,,,
day23,05:33.7,8.97,202,58.6,31,681,651,,,
day23,15:34.8,8.67,200,59.2,31,679,654,,,
day23,25:36.0,8.53,194,60.5,30.5,680,643,,,
day23,35:37.2,8.75,202,59.2,30.8,679,650,,,
day23,45:38.4,8.82,203,58.9,30.7,681,654,,,
day23,55:39.5,8.67,201,61.4,30.6,681,654,,,
day23,05:40.7,8.34,201,60.9,30.6,680,658,,,
day23,15:41.9,8.49,201,60,30.5,680,651,,,
day23,25:43.0,8.56,198,60.1,30.6,680,655,,,
day23,35:44.1,8.64,192,60.4,30.5,679,646,,,
