DAY,TIME,PH,SUNLIGHT,HUMIDITY,TEMPERATURE,SOIL MOISTURE,WATER LEVEL
day1,44:46.7,6.63,213,66.5,29.2,682,161
day1,54:48.5,6.81,213,66.6,29.2,685,163
day1,04:50.2,6.74,211,66.1,29.5,684,164
day1,14:51.9,6.67,204,65.7,29.4,682,167
day1,24:53.6,6.74,206,67,29.2,682,169
day1,34:55.3,6.89,206,67,29.2,684,172
day1,44:57.0,7.04,203,68.1,29.2,683,176
day1,54:58.7,7.26,204,67.6,29,683,183
day1,05:00.4,7.63,200,67.7,29.1,684,190
day1,15:02.1,7.92,206,68.1,28.9,682,196
day1,25:03.7,8.11,194,68.1,28.9,684,197
day1,35:05.4,8.03,202,68.8,28.7,684,206
day1,45:07.0,8.37,205,68.2,28.9,684,205
day1,55:08.7,8.25,200,68.8,29,683,222
day1,05:10.4,8.25,198,68.4,28.9,684,230
day1,15:12.0,8.14,201,68,29.1,685,231
day1,25:13.7,8.07,202,69.2,28.9,684,230
day1,35:15.3,7.85,200,68.7,28.7,683,234
day1,45:17.0,7.85,198,71,28.5,683,234
day1,55:18.6,7.77,202,70,28.7,683,234
day1,05:20.2,7.66,200,70.3,28.6,685,211
day1,15:21.8,6,193,70.5,28.6,682,241
day1,25:23.4,7.74,195,70.1,28.6,685,243
day1,35:25.0,7.66,191,70.3,28.5,684,247
day1,45:26.5,7.77,190,70.9,28.3,685,247
day1,55:28.1,7.63,191,70.1,28.5,685,245
day1,05:29.5,7.44,186,70.2,28.2,682,247
day1,15:30.9,7.44,181,70.7,28.2,685,248
day1,25:32.2,7.92,170,71.5,28,684,248
day1,35:33.4,7.07,168,72,28,684,249
day1,45:34.6,7.11,158,71.5,27.9,684,247
day1,55:35.7,6.89,150,71.7,27.8,683,248
day1,05:37.7,6.93,129,71.7,27.9,684,246
day1,15:39.1,6.85,94,71.7,27.7,684,248
day1,25:40.1,6.78,16,71.6,27.6,684,247
