TIMESTAMP,PH,LUMINOUS INTENSITY,HUMIDITY,TEMPERATURE,SOIL MOISTURE,WATER LEVEL
44:47.0,10.63,213,66.5,29.2,682,161
54:48.5,10.81,213,66.6,29.2,685,163
04:50.2,10.74,211,66.1,29.5,684,164
14:51.9,10.67,204,65.7,29.4,682,167
24:53.6,10.74,206,67,29.2,682,169
34:55.3,10.89,206,67,29.2,684,172
44:57.0,11.04,203,68.1,29.2,683,176
54:58.7,11.26,204,67.6,29,683,183
05:00.4,11.63,200,67.7,29.1,684,190
15:02.1,11.92,206,68.1,28.9,682,196
25:03.7,12.11,194,68.1,28.9,684,197
35:05.4,12.03,202,68.8,28.7,684,206
45:07.0,12.37,205,68.2,28.9,684,205
55:08.7,12.25,200,68.8,29,683,222
05:10.4,12.25,198,68.4,28.9,684,230
15:12.0,12.14,201,68,29.1,685,231
25:13.7,12.07,202,69.2,28.9,684,230
35:15.3,11.85,200,68.7,28.7,683,234
45:17.0,11.85,198,71,28.5,683,234
55:18.6,11.77,202,70,28.7,683,234
05:20.2,11.66,200,70.3,28.6,685,211
15:21.8,10,193,70.5,28.6,682,241
25:23.4,11.74,195,70.1,28.6,685,243
35:25.0,11.66,191,70.3,28.5,684,247
45:26.5,11.77,190,70.9,28.3,685,247
55:28.1,11.63,191,70.1,28.5,685,245
05:29.5,11.44,186,70.2,28.2,682,247
15:30.9,11.44,181,70.7,28.2,685,248
25:32.2,11.92,170,71.5,28,684,248
35:33.4,11.07,168,72,28,684,249
45:34.6,11.11,158,71.5,27.9,684,247
55:35.7,10.89,150,71.7,27.8,683,248
05:37.7,10.93,129,71.7,27.9,684,246
15:39.1,10.85,94,71.7,27.7,684,248
25:40.1,10.78,16,71.6,27.6,684,247
35:42.0,10.67,0,71.6,27.7,682,246
45:44.0,10.67,0,71.7,27.6,683,246
55:46.1,10.63,0,71.4,27.7,682,245
05:48.2,10.63,0,69.8,27.7,685,247
15:50.3,10.67,0,66.5,27.6,685,247
25:52.3,10.74,0,66.2,27.7,685,247
35:54.4,10.67,0,67.1,27.7,684,246
45:56.5,10.59,0,65,27.7,685,246
55:58.6,10.63,0,64.5,27.7,682,246
06:00.7,10.59,0,65.7,27.8,685,246
16:02.7,10.59,0,65.7,27.7,684,245
